,index,AccountUserID_BLOB,SessionUserID_BLOB,AccountUserID,SessionUserID,TimeStamp,CurrentTime,OldTime,NewTime,time_slot,oldtime_slots,newtime_slots,TimeDiff,SameSlot
136,1846,...,,2899518,,1458612655,,308.983,334.0,133,9,9,25.016999999999996,1
139,2333,...,,3401655,,1418466858,,75.2417,53.208,10,1,1,-22.033699999999996,1
140,2477,...,,3401655,,1418466910,,73.59899999999999,53.208,52,1,1,-20.39099999999999,1
146,2009,...,,3401655,,1418467075,,98.0006,87.49,22,2,2,-10.51060000000001,1
153,1408,...,,3401655,,1418468594,,252.76,221.76,1120,8,8,-31.0,1
156,458,...,,3401655,,1418468613,,210.48,185.02,14,8,6,-25.45999999999998,0
158,2596,...,,3401655,,1418468949,,390.92,380.69,200,12,11,-10.230000000000018,0
161,2615,...,,3481205,,1418986511,,1.0170000000000001,56.0,10,0,1,54.983,0
163,2312,...,,3481205,,1418986540,,110.867,136.0,21,2,4,25.132999999999996,0
164,688,...,,3481205,,1418986558,,163.326,188.0,18,5,6,24.674000000000007,0
165,1191,...,,3481205,,1418986572,,208.03599999999997,242.0,14,8,8,33.96400000000003,1
166,1427,...,,3626986,,1439403635,,2.32,268.0,10,0,8,265.68,0
167,1119,...,,4083281,,1418063788,,1.6725400000000001,107.0,10,0,2,105.32746,0
169,1814,...,,4200631,,1436822053,,2.441,36.0,10,0,1,33.559,0
172,972,...,,5067511,,1469713332,,3.4109800000000003,112.0,10,0,2,108.58902,0
176,184,...,,5107776,,1427681230,,124.0,111.0,10,3,2,-13.0,0
177,1728,...,,5304717,,1418828717,,297.79400000000004,314.43,10,9,9,16.635999999999967,1
179,1751,...,,5304717,,1418828856,,460.491,420.3,131,12,12,-40.190999999999974,1
191,947,...,,5537459,,1418087775,,429.029,405.0,10,12,12,-24.028999999999996,1
192,2205,...,,5537459,,1418087787,,422.849,402.0,12,12,12,-20.84899999999999,1
193,1654,...,,5537459,,1418087833,,460.349,402.0,46,12,12,-58.34899999999999,1
195,67,...,,5539150,,1418303381,,134.378,123.0,10,4,3,-11.377999999999986,0
196,1356,...,,5610553,,1424085299,,25.9208,40.0,10,1,1,14.0792,1
211,2283,...,,5637392,,1418322150,,168.894,0.0,10,5,0,-168.894,0
213,769,...,,5648784,,1418809477,,67.6047,40.0,10,1,1,-27.604699999999994,1
214,19,...,,5682227,,1419061022,,2.8755,27.0,10,0,1,24.1245,0
219,951,...,,5682227,,1419061044,,154.017,168.0,12,4,5,13.983000000000004,0
220,411,...,,5682227,,1419061080,,221.937,238.0,36,8,8,16.062999999999988,1
224,1517,...,,5682227,,1419061105,,312.087,337.0,14,9,10,24.91300000000001,0
235,990,...,,6647659,,1473315095,,102.749,10.0,10,2,0,-92.749,0
236,1422,...,,6647659,,1474286968,,239.0,11.0,971873,8,0,-228.0,0
238,2122,...,,6647659,,1474287073,,97.3385,9.0,103,2,0,-88.3385,0
239,2692,...,,6647659,,1474287177,,113.352,88.0,104,2,2,-25.352000000000004,1
241,802,...,,6647659,,1474287313,,213.35299999999998,152.0,135,8,4,-61.35299999999998,0
242,1856,...,,6647659,,1474287623,,460.846,103.0,310,12,2,-357.846,0
244,2381,...,,6647659,,1474287725,,177.044,137.0,101,6,4,-40.04400000000001,0
246,2399,...,,6647659,,1474287838,,224.812,152.0,110,8,4,-72.81200000000001,0
247,1042,...,,6830719,,1446365625,,89.43,229.04,10,2,8,139.60999999999999,0
248,2296,...,,6830719,,1446365675,,277.606,354.39099999999996,50,9,10,76.78499999999997,0
251,2542,...,,6907193,,1429455636,,78.1974,94.0,10,1,2,15.802599999999998,0
259,1414,...,,6907193,,1429455681,,375.458,415.0,13,11,12,39.54199999999997,0
262,197,...,,6907193,,1429455702,,390.158,342.0,11,12,10,-48.158000000000015,0
264,873,...,,7126321,,1439389271,,127.324,116.56,10,4,3,-10.763999999999996,0
269,2513,...,,7126321,,1439390964,,392.43699999999995,381.0,412,12,11,-11.436999999999955,0
274,991,...,,7179669,,1451087193,,3.4410000000000003,128.0,10,0,4,124.559,0
275,1837,...,,7179669,,1451087205,,139.46200000000002,194.0,12,4,6,54.53799999999998,0
277,1461,...,,7224046,,1471078602,,2.14,116.594,10,0,3,114.454,0
279,1926,...,,7521103,,1481190250,,221.298,208.12,98,8,8,-13.177999999999997,1
280,2214,...,,7521103,,1481190311,,283.33,273.19,61,9,8,-10.139999999999986,0
282,638,...,,7564312,,1487231583,,239.03400000000002,226.0,10,8,8,-13.03400000000002,1
286,1144,...,,7758611,,1452599557,,193.38299999999998,233.0,10,6,8,39.61700000000002,0
296,1092,...,,7758611,,1452697623,,15.203,44.0,98042,0,1,28.797,0
306,889,...,,7758611,,1453312668,,27.72,9.0,615027,1,0,-18.72,0
307,2710,...,,7935712,,1469201019,,7.547000000000001,129.0,10,0,4,121.453,0
309,756,...,,8726123,,1467639792,,5.881,132.72299999999998,10,0,4,126.84199999999998,0
341,1625,...,,8809881,,1447345556,,393.658,383.0,10,12,11,-10.658000000000015,0
342,1068,...,,8809881,,1447345611,,436.968,454.0,55,12,12,17.031999999999982,1
343,1306,...,,12004879,,1475835506,,174.97299999999998,164.4,10,6,5,-10.572999999999979,0
344,494,...,,13032543,,1483581682,,44.7482,75.0,10,1,1,30.251800000000003,1
346,776,...,,13032543,,1483581697,,131.691,230.0,13,4,8,98.309,0
